time,numberOfPacketsTrans,numberOfPacketsRec,loss,bashliteRun
14:25:12,1,1,0%,0
14:25:13,1,1,0%,0
14:25:13,1,1,0%,0
14:25:14,1,1,0%,0
14:25:14,1,1,0%,0
14:25:15,1,1,0%,0
14:25:15,1,1,0%,0
14:25:16,1,1,0%,0
14:25:17,1,1,0%,0
14:25:17,1,1,0%,0
14:25:18,1,1,0%,0
14:25:18,1,1,0%,0
14:25:19,1,1,0%,0
14:25:19,1,1,0%,0
14:25:20,1,1,0%,0
14:25:20,1,1,0%,0
14:25:21,1,1,0%,0
14:25:22,1,1,0%,0
14:25:22,1,1,0%,0
14:25:23,1,1,0%,0
14:25:23,1,1,0%,0
14:25:24,1,1,0%,0
14:25:24,1,1,0%,0
14:25:25,1,1,0%,0
14:25:26,1,1,0%,0
14:25:26,1,1,0%,0
14:25:27,1,1,0%,0
14:25:27,1,1,0%,0
14:25:28,1,1,0%,0
14:25:28,1,1,0%,0
14:25:29,1,1,0%,0
14:25:29,1,1,0%,0
14:25:30,1,1,0%,0
14:25:31,1,1,0%,0
14:25:31,1,1,0%,0
14:25:32,1,1,0%,0
14:25:32,1,1,0%,0
14:25:33,1,1,0%,0
14:25:33,1,1,0%,0
14:25:34,1,1,0%,0
14:25:34,1,1,0%,0
14:25:35,1,1,0%,0
14:25:35,1,1,0%,0
14:25:36,1,1,0%,0
14:25:37,1,1,0%,0
14:25:37,1,1,0%,0
14:25:38,1,1,0%,0
14:25:38,1,1,0%,0
14:25:39,1,1,0%,0
14:25:39,1,1,0%,0
14:25:40,1,1,0%,0
14:25:40,1,1,0%,0
14:25:41,1,1,0%,0
14:25:42,1,1,0%,0
14:25:42,1,1,0%,0
14:25:43,1,1,0%,0
14:25:43,1,1,0%,0
14:25:44,1,1,0%,0
14:25:44,1,1,0%,0
14:25:45,1,1,0%,0
14:25:45,1,1,0%,0
14:25:46,1,1,0%,0
14:25:47,1,1,0%,0
14:25:47,1,1,0%,0
14:25:48,1,1,0%,0
14:25:48,1,1,0%,0
14:25:49,1,1,0%,0
14:25:49,1,1,0%,0
14:25:50,1,1,0%,0
14:25:50,1,1,0%,0
14:25:51,1,1,0%,0
14:25:51,1,1,0%,0
14:25:52,1,1,0%,0
14:25:53,1,1,0%,0
14:25:53,1,1,0%,0
14:25:54,1,1,0%,0
14:25:54,1,1,0%,0
14:25:55,1,1,0%,0
14:25:55,1,1,0%,0
14:25:56,1,1,0%,0
14:25:57,1,1,0%,0
14:25:57,1,1,0%,0
14:25:58,1,1,0%,0
14:25:58,1,1,0%,0
14:25:59,1,1,0%,0
14:25:59,1,1,0%,0
14:26:00,1,1,0%,0
14:26:01,1,1,0%,0
14:26:01,1,1,0%,0
14:26:02,1,1,0%,0
14:26:02,1,1,0%,0
14:26:03,1,1,0%,0
14:26:03,1,1,0%,0
14:26:04,1,1,0%,0
14:26:05,1,1,0%,0
14:26:05,1,1,0%,0
14:26:06,1,1,0%,0
14:26:06,1,1,0%,0
14:26:07,1,1,0%,0
14:26:08,1,1,0%,0
14:26:08,1,1,0%,0
14:26:09,1,1,0%,0
14:26:09,1,1,0%,0
14:26:10,1,1,0%,0
14:26:10,1,1,0%,0
14:26:11,1,1,0%,0
14:26:11,1,1,0%,0
14:26:12,1,1,0%,0
14:26:12,1,1,0%,0
14:26:13,1,1,0%,0
14:26:14,1,1,0%,0
14:26:14,1,1,0%,0
14:26:15,1,1,0%,0
14:26:15,1,1,0%,0
14:26:16,1,1,0%,0
14:26:17,1,1,0%,0
14:26:17,1,1,0%,0
14:26:18,1,1,0%,0
14:26:18,1,1,0%,0
14:26:19,1,1,0%,0
14:26:20,1,1,0%,0
14:26:20,1,1,0%,0
14:26:21,1,1,0%,0
14:26:21,1,1,0%,0
14:26:22,1,1,0%,0
14:26:22,1,1,0%,0
14:26:23,1,1,0%,0
14:26:24,1,1,0%,0
14:26:24,1,1,0%,0
14:26:25,1,1,0%,0
14:26:25,1,1,0%,0
14:26:26,1,1,0%,0
14:26:26,1,1,0%,0
14:26:27,1,1,0%,0
14:26:28,1,1,0%,0
14:26:28,1,1,0%,0
14:26:29,1,1,0%,0
14:26:29,1,1,0%,0
14:26:30,1,1,0%,0
14:26:30,1,1,0%,0
14:26:31,1,1,0%,0
14:26:31,1,1,0%,0
14:26:32,1,1,0%,0
14:26:33,1,1,0%,0
14:26:33,1,1,0%,0
14:26:34,1,1,0%,0
14:26:34,1,1,0%,0
14:26:35,1,1,0%,0
14:26:35,1,1,0%,0
14:26:36,1,1,0%,0
14:26:36,1,1,0%,0
14:26:37,1,1,0%,0
14:26:38,1,1,0%,0
14:26:38,1,1,0%,0
14:26:39,1,1,0%,0
14:26:39,1,1,0%,0
14:26:40,1,1,0%,0
14:26:40,1,1,0%,0
14:26:41,1,1,0%,0
14:26:41,1,1,0%,0
14:26:42,1,1,0%,0
14:26:43,1,1,0%,0
14:26:43,1,1,0%,0
14:26:44,1,1,0%,0
14:26:44,1,1,0%,0
14:26:45,1,1,0%,0
14:26:45,1,1,0%,0
14:26:46,1,1,0%,0
14:26:47,1,1,0%,0
14:26:48,1,1,0%,0
