time,CPUPerc,RAMPerc,RAMAvailable,RAMTotal,BashliteActive,IPConnectionPossible
19:58:53,25.8,14.0,3188748288,3706712064,False,False
19:58:54,28.9,14.0,3188531200,3706712064,False,False
19:58:55,26.3,14.0,3188285440,3706712064,False,False
19:58:56,29.8,14.0,3188285440,3706712064,False,False
19:58:57,23.2,14.0,3188285440,3706712064,False,False
19:58:58,23.7,14.0,3188285440,3706712064,False,False
19:58:59,26.0,14.0,3188285440,3706712064,False,False
19:59:00,22.6,14.0,3188285440,3706712064,False,False
19:59:01,21.2,14.0,3188293632,3706712064,False,False
19:59:02,23.9,14.0,3188293632,3706712064,False,False
19:59:03,37.6,13.9,3190358016,3706712064,False,False
19:59:04,29.5,13.9,3190358016,3706712064,False,False
19:59:05,32.3,13.9,3190366208,3706712064,False,False
19:59:06,31.6,13.9,3190366208,3706712064,False,False
19:59:07,26.8,13.9,3190366208,3706712064,False,False
19:59:08,28.6,13.9,3190366208,3706712064,False,False
19:59:09,34.5,13.9,3190366208,3706712064,False,False
19:59:10,30.5,13.9,3190366208,3706712064,False,False
19:59:11,33.3,13.9,3190116352,3706712064,False,False
19:59:12,27.7,13.9,3190116352,3706712064,False,False
19:59:13,21.6,13.9,3190116352,3706712064,False,False
19:59:14,29.8,13.9,3190116352,3706712064,False,False
19:59:15,29.2,13.9,3190116352,3706712064,False,False
19:59:16,20.8,13.9,3190124544,3706712064,False,False
19:59:17,22.8,13.9,3190124544,3706712064,False,False
19:59:18,20.8,13.9,3190124544,3706712064,False,False
19:59:19,28.9,13.9,3190124544,3706712064,False,False
19:59:20,25.3,13.9,3190124544,3706712064,False,False
19:59:21,21.1,13.9,3190132736,3706712064,False,False
19:59:22,22.9,13.9,3190132736,3706712064,False,False
19:59:23,24.2,13.9,3190132736,3706712064,False,False
19:59:24,22.7,13.9,3190132736,3706712064,False,False
19:59:25,21.6,13.9,3190132736,3706712064,False,False
19:59:26,27.1,13.9,3190140928,3706712064,False,False
19:59:27,38.5,13.9,3190140928,3706712064,False,False
19:59:29,31.3,13.9,3190140928,3706712064,False,False
19:59:30,23.2,13.9,3190140928,3706712064,False,False
19:59:31,21.9,13.9,3190149120,3706712064,False,False
19:59:32,32.3,13.9,3190149120,3706712064,False,False
19:59:33,29.2,13.9,3190149120,3706712064,False,False
19:59:34,38.0,13.9,3190149120,3706712064,False,False
19:59:35,59.5,14.0,3185999872,3706712064,False,False
19:59:36,86.9,14.1,3183505408,3706712064,False,False
19:59:37,36.6,14.1,3183542272,3706712064,False,False
19:59:38,33.7,14.1,3183464448,3706712064,False,False
19:59:39,50.0,14.1,3183349760,3706712064,False,False
19:59:40,47.7,14.1,3183607808,3706712064,False,False
19:59:41,88.9,14.2,3179520000,3706712064,False,False
19:59:42,100.0,14.3,3176361984,3706712064,False,False
19:59:43,100.0,14.5,3170344960,3706712064,False,False
19:59:44,100.0,14.5,3169976320,3706712064,False,False
19:59:45,100.0,14.5,3169230848,3706712064,False,False
19:59:46,98.4,14.6,3167154176,3706712064,False,False
19:59:47,34.8,14.6,3166408704,3706712064,False,False
19:59:48,43.4,14.6,3165634560,3706712064,False,False
19:59:50,32.6,14.6,3166150656,3706712064,False,False
19:59:51,30.5,14.6,3166158848,3706712064,False,False
