time,CPUPerc,RAMPerc,RAMAvailable,RAMTotal,BashliteActive,IPConnectionPossible
15:04:43,24.4,14.6,3164999680,3707105280,False,False
15:04:44,24.2,14.6,3164745728,3707105280,False,False
15:04:45,22.4,14.6,3164745728,3707105280,False,False
15:04:46,22.9,14.6,3164745728,3707105280,False,False
15:04:47,23.2,14.6,3164745728,3707105280,False,False
15:04:48,24.2,14.6,3164749824,3707105280,False,False
15:04:49,29.3,14.6,3164446720,3707105280,False,False
15:04:51,24.5,14.6,3164749824,3707105280,False,False
15:04:52,22.4,14.6,3164188672,3707105280,False,False
15:04:53,23.7,14.6,3164225536,3707105280,False,False
15:04:54,21.9,14.6,3164225536,3707105280,False,False
15:04:55,24.7,14.6,3164225536,3707105280,False,False
15:04:56,26.3,14.6,3164225536,3707105280,False,False
15:04:57,32.3,14.6,3164209152,3707105280,False,False
15:04:58,25.5,14.6,3164233728,3707105280,False,False
15:04:59,29.8,14.6,3164233728,3707105280,False,False
15:05:00,27.4,14.6,3164233728,3707105280,False,False
15:05:01,32.0,14.7,3161137152,3707105280,False,False
15:05:02,27.6,14.7,3160354816,3707105280,False,False
15:05:03,33.0,14.7,3160354816,3707105280,False,False
15:05:04,29.2,14.7,3160354816,3707105280,False,False
15:05:05,27.1,14.7,3160354816,3707105280,False,False
15:05:06,27.1,14.7,3160350720,3707105280,False,False
15:05:07,25.8,14.7,3160350720,3707105280,False,False
15:05:08,20.8,14.7,3160350720,3707105280,False,False
15:05:09,21.6,14.7,3160350720,3707105280,False,False
15:05:10,20.6,14.7,3160350720,3707105280,False,False
15:05:11,22.1,14.7,3160350720,3707105280,False,False
15:05:12,24.7,14.7,3160350720,3707105280,False,False
15:05:13,25.0,14.7,3160350720,3707105280,False,False
15:05:14,23.5,14.7,3160350720,3707105280,False,False
15:05:15,23.4,14.7,3160350720,3707105280,False,False
15:05:16,23.2,14.7,3160350720,3707105280,False,False
15:05:17,26.3,14.7,3160354816,3707105280,False,False
15:05:18,21.9,14.7,3160354816,3707105280,False,False
15:05:19,23.5,14.7,3160354816,3707105280,False,False
15:05:20,23.5,14.7,3160354816,3707105280,False,False
15:05:21,22.7,14.7,3160354816,3707105280,False,False
