time,numberOfPacketsTrans,numberOfPacketsRec,loss,bashliteRun
14:29:01,1,1,0%,1
14:29:02,1,1,0%,1
14:29:02,1,1,0%,1
14:29:03,1,1,0%,1
14:29:03,,,,1
14:29:04,,,,1
14:29:04,,,,1
14:29:05,,,,1
14:29:06,,,,1
14:29:06,,,,1
14:29:07,,,,1
14:29:07,,,,1
14:29:08,,,,1
14:29:08,1,1,0%,1
14:29:09,1,1,0%,1
14:29:09,1,1,0%,1
14:29:10,1,1,0%,1
14:29:10,1,1,0%,1
14:29:11,1,1,0%,1
14:29:12,1,1,0%,1
14:29:12,1,1,0%,1
14:29:13,1,1,0%,2
14:29:13,1,1,0%,2
14:29:14,1,1,0%,2
14:29:14,1,1,0%,2
14:29:15,1,1,0%,2
14:29:15,1,1,0%,2
14:29:16,1,1,0%,2
14:29:17,1,1,0%,2
14:29:17,1,1,0%,2
14:29:18,1,1,0%,2
14:29:18,1,1,0%,2
14:29:19,1,1,0%,2
14:29:19,1,1,0%,2
14:29:20,1,1,0%,2
14:29:20,1,1,0%,2
14:29:21,1,1,0%,2
14:29:21,1,1,0%,2
14:29:22,1,1,0%,2
14:29:23,1,1,0%,2
14:29:23,1,1,0%,2
14:29:24,1,1,0%,2
14:29:24,1,1,0%,2
14:29:25,1,1,0%,2
14:29:25,1,1,0%,2
14:29:26,1,1,0%,2
14:29:26,1,1,0%,2
14:29:27,1,1,0%,2
14:29:27,1,1,0%,2
14:29:28,1,1,0%,2
14:29:29,1,1,0%,2
14:29:29,1,1,0%,2
14:29:30,1,1,0%,2
14:29:30,1,1,0%,2
14:29:31,1,1,0%,2
14:29:31,1,1,0%,2
14:29:32,1,1,0%,2
14:29:32,1,1,0%,2
14:29:33,1,1,0%,2
14:29:33,1,1,0%,2
14:29:34,1,1,0%,2
14:29:35,1,1,0%,2
14:29:35,1,1,0%,2
14:29:36,1,1,0%,2
14:29:36,1,1,0%,2
14:29:37,1,1,0%,2
14:29:37,1,1,0%,2
14:29:38,1,1,0%,2
14:29:38,1,1,0%,2
14:29:39,1,1,0%,2
14:29:39,1,1,0%,2
14:29:40,1,1,0%,2
14:29:41,1,1,0%,2
14:29:41,1,1,0%,2
14:29:42,1,1,0%,2
14:29:42,1,1,0%,2
14:29:43,1,1,0%,2
14:29:43,1,1,0%,2
14:29:44,1,1,0%,2
14:29:44,1,1,0%,2
14:29:45,1,1,0%,2
14:29:45,1,1,0%,2
14:29:46,1,1,0%,2
14:29:46,1,1,0%,2
14:29:47,1,1,0%,2
14:29:48,1,1,0%,2
14:29:48,1,1,0%,2
14:29:49,1,1,0%,2
14:29:49,1,1,0%,2
14:29:50,1,1,0%,2
14:29:50,1,1,0%,2
14:29:51,1,1,0%,2
14:29:51,1,1,0%,2
14:29:52,1,1,0%,2
14:29:52,1,1,0%,2
14:29:53,1,1,0%,2
14:29:54,1,1,0%,2
14:29:54,1,1,0%,2
14:29:55,1,1,0%,2
14:29:55,1,1,0%,2
14:29:56,1,1,0%,2
14:29:56,1,1,0%,2
14:29:57,1,1,0%,2
14:29:57,1,1,0%,2
14:29:58,1,1,0%,2
14:29:58,1,1,0%,2
14:29:59,1,1,0%,2
14:30:00,1,1,0%,2
14:30:00,1,1,0%,2
14:30:01,1,1,0%,2
14:30:01,1,1,0%,2
14:30:02,1,1,0%,2
